quoRef,contractStartDate,firstInstallmentDate,assetPrice,loanAmount,term,rate,irr,installmentAmount
GLF-00000016,16072012,16082012,1800,1260,24,2.4,4.01,82.74
GLF-00000017,16072012,15082013,1800,1260,12,2.5,4.29,136.5
GLF-00000496,17082013,05092013,1850,925,12,1.95,3.39,95.12
GLF-KDL-00000023,19062013,24062013,1850,1295,36,1.95,3.21,61.22
GLF-00000314,09052013,12062013,1850,925,24,1.95,3.33,56.58
GLF-00000279,27042013,01062013,2330,1631,12,1.95,3.39,167.72
GLF-00000249,11042013,11052013,2100,1470,24,1.95,3.33,89.92
GLF-00000223,08042013,04052013,1950,1365,12,1.95,3.39,140.37
GLF-00000224,08042013,02052013,1950,1365,24,1.95,3.33,83.49
GLF-00000161,05032013,06042013,2180,1526,24,2.4,4.01,100.21
